customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car
49,Nolly,Ownsworth,Male,1/26/1994,VP Quality Control,n/a,Affluent Customer,N,No
50,Whitby,Schapero,Male,10/1/1980,Account Executive,Manufacturing,Mass Customer,N,Yes
51,Fidelio,Dilke,Male,12/5/1959,Computer Systems Analyst II,Retail,Mass Customer,N,No
52,Curran,Bentson,Male,6/22/1988,,Financial Services,Mass Customer,N,Yes
53,Agnella,Gocke,Female,4/18/1954,Software Test Engineer II,Financial Services,Mass Customer,N,No
54,Loralyn,Wonfor,Femal,7/24/1966,Sales Associate,Property,Mass Customer,N,Yes
55,Linc,Jillions,Male,9/24/1956,Paralegal,Financial Services,Affluent Customer,N,Yes
56,Reese,Ensor,Male,7/4/1996,VP Sales,Property,Mass Customer,N,Yes
57,Abba,Masedon,M,6/13/1988,Chief Design Engineer,n/a,Mass Customer,N,Yes
58,Dalenna,Pinnock,Female,7/4/1967,Office Assistant III,Financial Services,Affluent Customer,N,Yes
59,Niki,Heathcote,Male,2/8/2000,Physical Therapy Assistant,n/a,High Net Worth,N,No
60,Nadiya,Champerlen,Female,2/4/1970,,Manufacturing,Mass Customer,N,No
61,Kacey,Rowbottom,Female,11/29/1959,Help Desk Operator,Property,High Net Worth,N,No
62,Sorcha,Roggers,Female,7/6/1979,,IT,Mass Customer,N,Yes
63,Ebony,Zini,Female,7/3/1965,Senior Quality Engineer,Retail,Mass Customer,N,Yes
64,Gerek,Yve,Male,3/25/1978,Legal Assistant,IT,High Net Worth,N,No
65,Yale,Tanser,Male,4/1/1976,Information Systems Manager,Financial Services,Affluent Customer,N,Yes
66,Anselm,Gawne,Male,3/11/2002,Account Executive,Argiculture,High Net Worth,N,No
67,Vernon,,Male,6/14/1960,Web Developer II,Retail,Mass Customer,N,No
68,Dahlia,Eddoes,Female,4/21/1974,Information Systems Manager,n/a,Affluent Customer,N,No
69,Heidi,Milner,Female,6/22/1969,Web Developer II,n/a,Mass Customer,N,No
70,Foster,Vannoort,Male,2/27/1993,Paralegal,Financial Services,Affluent Customer,N,No
71,Hoyt,Glavias,Male,1/27/1985,Research Associate,Argiculture,Affluent Customer,N,Yes
72,Sammy,Cheese,Male,2/13/1972,Administrative Officer,Manufacturing,Affluent Customer,N,Yes
73,Minette,Worters,Female,5/27/1960,Teacher,n/a,Affluent Customer,N,Yes
74,Pansy,Kiddie,Female,6/19/1969,,n/a,Mass Customer,N,Yes
75,Dollie,Sealy,Female,7/15/1978,VP Product Management,Property,Mass Customer,N,No
76,Rea,Hasser,Female,1/23/1978,Statistician II,Retail,High Net Worth,N,Yes
77,Shermie,Andrin,Male,9/12/1989,Automation Specialist IV,Financial Services,Mass Customer,N,No
78,Arch,Van der Kruis,Male,3/12/1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No
79,Tybi,Silliman,Female,10/2/1968,Account Executive,Manufacturing,Mass Customer,N,No
80,Pablo,Small,Male,4/24/1978,Data Coordiator,Entertainment,Mass Customer,N,No
81,Bee,Blazewicz,Female,9/4/1986,,Health,High Net Worth,N,No
82,Gleda,Cokely,Female,6/28/1965,Software Test Engineer III,Property,High Net Worth,N,No
83,Kerr,Simmell,Male,2/26/1967,Internal Auditor,IT,Mass Customer,N,Yes
84,Rich,Mathiasen,Male,2/7/1958,Accountant III,n/a,Mass Customer,N,Yes
85,Kane,Tixall,Male,5/21/1958,Analyst Programmer,n/a,Mass Customer,N,No
86,Job,Sleney,Male,3/4/1989,Occupational Therapist,Health,High Net Worth,N,Yes
87,Fields,Langdon,Male,4/23/1974,Editor,Financial Services,Mass Customer,N,No
88,Malynda,Tumber,Female,2/3/1966,Help Desk Operator,Property,High Net Worth,N,Yes
89,Benedicto,Hoxey,Male,1/22/1967,Speech Pathologist,Health,Mass Customer,N,Yes
90,Cary,Garron,Male,11/12/1984,Quality Control Specialist,Manufacturing,Mass Customer,N,No
91,Dylan,Meaker,Male,2/24/1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes
92,Jodee,Judkins,Female,9/11/1980,Recruiting Manager,Health,Mass Customer,N,No
93,Gordon,Gowar,Male,7/16/1976,Project Manager,Retail,Mass Customer,N,Yes
94,Wallache,Simchenko,Male,8/7/1974,Civil Engineer,Manufacturing,Mass Customer,N,No
95,Nomi,Mallinder,Female,12/25/1960,Software Engineer III,Manufacturing,Affluent Customer,N,Yes
96,Heath,Olford,Male,8/31/1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No
97,Arne,Corain,Male,7/27/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes
98,Allianora,Babalola,Female,3/17/1956,Safety Technician IV,Health,Mass Customer,N,No
99,Reggie,Mulliner,Male,6/13/1998,VP Accounting,Financial Services,Mass Customer,N,No
100,Tripp,Steed,Male,5/11/1968,General Manager,Financial Services,Mass Customer,N,Yes
101,Goran,Kwietek,Male,12/29/1975,Nurse Practicioner,Manufacturing,High Net Worth,N,No
102,Langsdon,Tranfield,Male,11/27/1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,No
103,Ethyl,Runham,Female,4/21/1997,Product Engineer,Financial Services,Affluent Customer,N,Yes
104,Odille,Panketh,Female,6/6/1978,Automation Specialist II,Health,Mass Customer,N,Yes
105,Maribeth,Pristnor,Female,9/17/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No
106,Glyn,,Male,7/3/1966,Software Test Engineer III,Health,High Net Worth,N,Yes
107,Pris,Stallebrass,Female,7/1/1990,Nurse Practicioner,Financial Services,Mass Customer,N,Yes
108,Kayle,Mingaud,Female,3/14/1994,,n/a,High Net Worth,N,No
109,Cody,Blabey,Male,12/11/1978,Marketing Assistant,n/a,Affluent Customer,N,Yes
110,Sascha,St. Quintin,Male,7/31/2000,,Financial Services,Affluent Customer,N,No
111,Cele,Evason,Female,8/29/1993,Analyst Programmer,n/a,Mass Customer,N,No
112,Shena,Parren,Female,8/12/1975,Marketing Manager,Retail,High Net Worth,N,No
113,Gage,Nickless,Male,5/6/1956,Staff Scientist,n/a,Mass Customer,N,No
114,Sunny,Swindells,Female,10/23/1985,Teacher,Entertainment,Affluent Customer,N,No
115,Alberik,Mereweather,Male,12/21/1981,Account Executive,Health,Mass Customer,N,No
116,Scottie,Swiffen,Male,2/5/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes
117,Nance,Suttling,Female,2/23/1982,Marketing Manager,Manufacturing,Mass Customer,N,No
118,Prentice,Pearmain,Male,11/12/1959,Budget/Accounting Analyst IV,n/a,High Net Worth,N,No
119,Willey,Chastanet,Male,12/4/1981,Associate Professor,n/a,High Net Worth,N,Yes
120,Sloan,Wagg,Male,9/2/1978,Legal Assistant,Financial Services,High Net Worth,N,Yes
121,Myles,Pauncefort,Male,10/2/1957,Graphic Designer,Manufacturing,Mass Customer,N,No
122,Colver,Itter,Male,4/19/1979,Quality Control Specialist,Financial Services,Mass Customer,N,Yes
123,Almeta,Kalinsky,Female,12/3/1988,Analyst Programmer,Financial Services,High Net Worth,N,No
124,Kath,Cunney,Female,5/3/1995,Administrative Assistant II,Health,High Net Worth,N,Yes
125,Darrelle,Antoniewski,Female,3/17/1960,Computer Systems Analyst II,Property,Mass Customer,N,No
126,Norman,Cliff,Male,10/15/1992,Administrative Officer,Health,Mass Customer,N,Yes
127,Merrili,Whitear,Female,12/3/1974,Compensation Analyst,Financial Services,Mass Customer,N,No
128,Isidro,Cypler,Male,7/17/1977,Systems Administrator III,Property,Mass Customer,N,Yes
129,Weidar,Silkstone,Male,7/20/1985,Financial Advisor,Financial Services,High Net Worth,N,Yes
130,Raddy,Delete,Male,7/18/1997,Chemical Engineer,Manufacturing,Mass Customer,N,No
131,Jana,Renyard,Female,10/16/1964,Administrative Officer,Retail,High Net Worth,N,No
132,Celesta,Willavoys,Female,7/7/1963,Web Designer I,Manufacturing,Mass Customer,N,Yes
133,Eldridge,Fiddeman,Male,6/13/1977,VP Accounting,Financial Services,Mass Customer,N,Yes
134,Merna,McCulloch,Female,8/1/1997,Legal Assistant,Telecommunications,Affluent Customer,N,Yes
135,Rosalia,Sigart,Female,1/18/1975,Internal Auditor,IT,Mass Customer,N,No
136,Mel,Bennet,Male,5/26/1973,Senior Developer,Manufacturing,High Net Worth,N,Yes
137,Vaughn,Artin,Male,11/21/1987,Office Assistant II,Property,High Net Worth,N,No
138,Onofredo,Franc,Male,4/28/1985,Recruiter,Financial Services,Affluent Customer,N,Yes
139,Gar,,Male,7/28/1964,Operator,Telecommunications,Affluent Customer,N,No
140,Morrie,Flaxon,Male,5/20/1994,Programmer Analyst III,Manufacturing,Mass Customer,N,No
141,Townsend,Trobe,Male,6/25/1954,Teacher,Financial Services,High Net Worth,N,Yes
142,Bentley,Fortesquieu,Male,8/7/1967,Quality Engineer,Health,Affluent Customer,N,No
143,Kendall,Figg,Male,9/1/1957,Operator,Argiculture,Mass Customer,N,Yes
144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,N,No
145,Filippo,Ferrara,Male,7/21/1997,Account Executive,Financial Services,Mass Customer,N,No
146,Ricoriki,Matlock,Male,4/8/1985,Quality Control Specialist,Manufacturing,Mass Customer,N,No
147,Rea,Pattrick,Female,12/6/1973,Analog Circuit Design manager,Health,Mass Customer,N,Yes
148,Jaquith,Maffey,Female,5/8/1981,Programmer Analyst III,n/a,Mass Customer,N,Yes
149,Drucy,Kausche,Female,1/31/1995,Research Nurse,Health,Mass Customer,N,Yes
150,Bradly,Crosse,Male,8/23/1983,Cost Accountant,Financial Services,Affluent Customer,N,No
151,Donnie,Brimson,Male,1/31/1965,Marketing Manager,Manufacturing,Mass Customer,N,Yes
152,Stephana,Cardew,Female,3/3/1981,Compensation Analyst,Financial Services,Mass Customer,N,No
153,Lorilyn,Walshe,Female,7/28/1977,Assistant Media Planner,Entertainment,Mass Customer,N,Yes
154,Faydra,Dulieu,Female,2/13/1958,Junior Executive,n/a,Mass Customer,N,No
155,Orran,Bogges,Male,12/28/1985,Quality Engineer,Manufacturing,Mass Customer,N,No
156,Shayla,Rimmington,Female,9/9/1979,Cost Accountant,Financial Services,Mass Customer,N,Yes
157,Chad,Houtby,Male,11/23/1974,Financial Advisor,Financial Services,Affluent Customer,N,No
158,Hamlin,Odams,Male,9/3/1984,Internal Auditor,n/a,Affluent Customer,N,No
159,Arin,Matskevich,Male,5/12/1987,Research Nurse,Health,Affluent Customer,N,No
160,Wake,Durning,Male,7/15/1964,Registered Nurse,Health,Mass Customer,N,No
161,Tadd,Bloss,Male,1/21/1976,,n/a,Mass Customer,N,No
162,Port,Acuna,Male,8/12/1979,Nurse Practicioner,IT,Mass Customer,N,No
163,Kessia,Helder,Female,9/6/1976,Librarian,Entertainment,High Net Worth,N,Yes
164,Aarika,Van Vuuren,Female,8/7/1999,Senior Editor,Retail,Affluent Customer,N,Yes
165,Aldon,Roelofs,Male,3/25/1984,Administrative Officer,Argiculture,Mass Customer,N,Yes
166,Elston,Oleszczak,Male,6/12/1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No
167,Nathalie,Tideswell,Female,10/27/1969,,Health,High Net Worth,N,Yes
168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,N,Yes
169,Alfy,Bruhnke,Male,10/19/1957,Data Coordiator,Telecommunications,High Net Worth,N,Yes
170,Jammal,Gever,Male,6/2/1975,Pharmacist,Health,High Net Worth,N,No
171,Halli,Davidoff,Female,12/4/1970,Assistant Manager,Manufacturing,Mass Customer,N,No
172,Hilton,Carney,Male,9/12/1988,Editor,Manufacturing,Affluent Customer,N,Yes
173,Ebba,Hanselmann,Female,1/2/1997,General Manager,Health,Affluent Customer,N,No
174,Catie,Tosspell,Female,11/26/1989,Food Chemist,Health,Mass Customer,N,No
175,Templeton,Hambrook,Male,11/28/1975,Quality Engineer,Manufacturing,Affluent Customer,N,No
176,Angelo,Clayal,Male,4/13/1992,Accountant I,Property,Mass Customer,N,No
177,Ondrea,Pablos,Female,11/9/1989,Professor,Financial Services,High Net Worth,N,No
178,Matthieu,Bertelmot,Male,4/3/1967,,n/a,Affluent Customer,N,No
179,Esteban,Sewill,Male,5/11/1966,Environmental Tech,Manufacturing,High Net Worth,N,Yes
180,Trisha,Neasham,Female,9/17/1971,Web Designer III,Argiculture,Affluent Customer,N,No
181,Pavla,Braunle,Female,11/21/1982,Senior Editor,Manufacturing,Mass Customer,N,No
182,Lydon,Dahlman,Male,11/20/1992,Sales Associate,Financial Services,Affluent Customer,N,Yes
183,Dannie,Hissie,Female,8/5/1997,Geologist III,Retail,Affluent Customer,N,No
184,Nappie,Paolo,Male,12/13/1971,Marketing Manager,Manufacturing,High Net Worth,N,Yes
185,Crosby,Walcot,Male,12/13/1979,,Property,Mass Customer,N,Yes
186,Mireielle,Jeppe,Female,5/6/1974,Software Test Engineer I,Financial Services,Mass Customer,N,No
187,Pincas,Ather,Male,1/28/1954,Structural Engineer,n/a,Mass Customer,N,No
188,Audry,Seine,Female,6/22/1975,Safety Technician II,Property,High Net Worth,N,Yes
189,Umberto,Torricella,Male,7/19/1981,Safety Technician I,Financial Services,Affluent Customer,N,No
190,Hayley,Girardengo,Female,2/4/1979,Registered Nurse,Health,Affluent Customer,N,No
191,Christopher,Heining,Male,4/27/1960,Help Desk Operator,n/a,Affluent Customer,N,Yes
192,Goldi,Osler,Female,11/19/1978,Junior Executive,Health,Mass Customer,N,Yes
193,Foss,Hardes,Male,7/22/1964,Recruiting Manager,Manufacturing,Mass Customer,N,Yes
194,Ursala,Ferrai,Female,11/16/1974,Web Developer III,Financial Services,Affluent Customer,N,No
195,Talyah,Rylatt,Female,11/14/1958,Project Manager,Manufacturing,Mass Customer,N,No
196,Swen,Odhams,Male,2/22/1966,Programmer Analyst II,Manufacturing,High Net Worth,N,No
197,Avis,,Female,1/27/1977,,n/a,High Net Worth,N,No
198,Vanya,Gumb,Female,11/29/1981,Assistant Media Planner,Entertainment,Mass Customer,N,No
199,Verla,Alven,Female,2/13/1978,Junior Executive,Health,Mass Customer,N,Yes
200,Hube,Weald,Male,2/4/1957,Physical Therapy Assistant,Property,Affluent Customer,N,Yes
201,Salem,Huie,Male,4/20/1966,Design Engineer,Manufacturing,Mass Customer,N,Yes
202,Audie,Pillinger,Female,6/24/1963,Librarian,Entertainment,Affluent Customer,N,Yes
203,Donovan,Conry,Male,1/13/1964,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes
204,Thorny,Hackworth,Male,10/1/1976,Editor,Financial Services,Mass Customer,N,No
205,Rolfe,Kellard,Male,12/1/1958,Administrative Assistant II,Financial Services,Mass Customer,N,Yes
206,Mari,Chevolleau,Female,7/19/1954,Statistician I,n/a,Mass Customer,N,Yes
207,Adena,Whyman,Female,8/10/1994,,n/a,Mass Customer,N,No
208,Rutter,Excell,Male,10/31/1994,Office Assistant III,Property,High Net Worth,N,No
209,Udall,Bellard,Male,8/28/1957,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes
210,Albrecht,Thomasson,Male,11/18/1963,Assistant Manager,Property,Mass Customer,N,No
211,Beitris,,Female,3/4/1974,VP Marketing,Manufacturing,Mass Customer,N,Yes
212,Nanice,Ellse,Female,11/19/2001,Desktop Support Technician,IT,Affluent Customer,N,No
213,Lockwood,Exroll,Male,5/14/1996,Actuary,Financial Services,High Net Worth,N,Yes
214,Jeramie,Cellier,Male,11/29/1957,Food Chemist,Health,Mass Customer,N,No
215,Debera,Foxworthy,Female,6/24/1974,Assistant Professor,Retail,High Net Worth,N,Yes
216,Cinderella,Parcall,Female,1/12/1995,Quality Engineer,Financial Services,High Net Worth,N,Yes
217,Jeralee,Quartly,Female,12/9/1979,,Manufacturing,High Net Worth,N,No
218,Stefa,Dunnan,Female,8/6/1993,Administrative Officer,Property,High Net Worth,N,Yes
219,Markus,Mughal,Male,11/25/1964,Database Administrator III,Health,Mass Customer,N,No
220,Jeniffer,Apark,Female,5/10/1954,Electrical Engineer,Manufacturing,High Net Worth,N,No
221,Mara,Bloore,Female,3/10/1980,Tax Accountant,Manufacturing,Mass Customer,N,No
222,Nev,Larive,Male,9/3/1978,Clinical Specialist,Health,Mass Customer,N,No
223,Ossie,Meaton,Male,11/26/1983,VP Sales,n/a,Affluent Customer,N,Yes
224,Morgun,Girvan,Male,12/3/1967,Compensation Analyst,Financial Services,Affluent Customer,N,No
225,Brittaney,Pring,Female,3/11/1977,Pharmacist,Health,Affluent Customer,N,No
226,Bondie,Letty,Male,11/11/1977,Database Administrator IV,Manufacturing,Mass Customer,N,No
227,Wendall,McKeand,Male,8/14/1973,Accountant I,Entertainment,Mass Customer,N,No
228,Lucia,Pickervance,Female,5/25/1986,Systems Administrator II,Manufacturing,High Net Worth,N,No
229,Vaughn,Lambis,Male,3/6/1966,,Property,High Net Worth,N,No
230,Maegan,Scyone,Female,6/24/1954,Internal Auditor,Property,High Net Worth,N,No
231,Basile,Winsor,Male,8/5/1995,Design Engineer,Financial Services,Mass Customer,N,Yes
232,Zaria,Koeppke,Female,11/11/1987,Professor,Retail,Mass Customer,N,No
233,Art,Barwell,Male,8/8/1986,Environmental Tech,Property,Mass Customer,N,No
234,Mead,Alpes,Female,8/12/1969,Chief Design Engineer,Retail,High Net Worth,N,No
235,Leona,Phateplace,Female,12/26/1976,Social Worker,Health,Mass Customer,N,No
236,Tybalt,Gillingwater,Male,10/30/1954,Research Nurse,Health,Affluent Customer,N,No
237,Reginald,Dartan,Male,3/7/1974,Account Coordinator,Property,High Net Worth,N,Yes
238,Max,Bilborough,Male,2/4/1984,Programmer III,n/a,Mass Customer,N,Yes
239,Wells,Pressman,Male,12/13/1992,Registered Nurse,Health,Affluent Customer,N,No
240,Gavin,Fawks,Male,7/28/1989,Administrative Assistant III,IT,High Net Worth,N,Yes
241,Quillan,Duigan,Male,5/9/1987,Quality Engineer,Entertainment,Mass Customer,N,No
242,Taite,Droghan,Male,3/20/1992,Nurse,Property,Affluent Customer,N,No
243,Barbara,Croxley,Female,9/2/1976,Teacher,Manufacturing,High Net Worth,N,Yes
244,Germayne,Sperry,Male,11/25/1974,,Retail,Affluent Customer,N,No
245,Noell,Grahlmans,Female,9/26/2001,Associate Professor,Financial Services,Affluent Customer,N,No
246,Binny,Whight,Female,2/28/1991,Technical Writer,Manufacturing,High Net Worth,N,No
247,Kristal,Joysey,Female,5/6/1983,Staff Accountant II,Financial Services,High Net Worth,N,Yes
248,Inger,Eskell,Female,4/15/1978,Clinical Specialist,Health,Affluent Customer,N,Yes
249,D'arcy,Slay,Male,9/13/1992,Quality Control Specialist,IT,High Net Worth,N,No
250,Kristofer,,Male,4/15/1988,Legal Assistant,Health,Mass Customer,N,Yes
251,Mala,,Female,12/24/1977,VP Sales,Financial Services,Affluent Customer,N,Yes
252,Anthea,Ruskin,Female,1/24/1983,Account Coordinator,Property,Mass Customer,N,Yes
253,Amalee,Choak,Female,5/11/1997,Food Chemist,Health,Mass Customer,N,Yes
254,Barbie,Rubi,Female,9/22/1961,Information Systems Manager,Retail,Mass Customer,N,No
255,Keeley,Kruger,Female,1/15/1954,Desktop Support Technician,IT,Mass Customer,N,No
256,Linell,Beadle,Female,5/7/1975,Director of Sales,Health,High Net Worth,N,Yes
257,Marissa,,Female,2/8/1966,Sales Associate,Manufacturing,Affluent Customer,N,Yes
258,Othella,Keher,Female,5/3/1992,Administrative Officer,Manufacturing,High Net Worth,N,No
259,Venita,Dymick,Female,7/22/1983,Senior Developer,Health,High Net Worth,N,Yes
260,Farand,Marriner,Female,8/30/1979,Senior Quality Engineer,Health,High Net Worth,N,Yes
261,Marve,Pryn,Male,10/15/1977,Structural Engineer,n/a,Mass Customer,N,No
262,Cordie,Petrelli,Male,12/23/1977,,Health,High Net Worth,N,Yes
263,Tonia,Leigh,Female,11/19/1985,Dental Hygienist,Health,High Net Worth,N,No
264,Jedd,Spiby,Male,12/7/1977,Technical Writer,Health,Mass Customer,N,No
265,Pennie,Stoile,Male,10/5/1965,Sales Representative,Retail,High Net Worth,N,Yes
266,Lelia,Garatty,Female,7/19/1989,Account Executive,Retail,Affluent Customer,N,No
267,Edgar,Buckler,U,,,IT,High Net Worth,N,No
268,Kacie,Kidston,Female,10/18/1978,Chemical Engineer,Manufacturing,Mass Customer,N,No
269,Zacherie,Grindley,Male,9/19/1954,Nurse Practicioner,Property,Mass Customer,N,Yes
270,Auberta,Roundtree,Female,12/10/1970,Budget/Accounting Analyst III,n/a,Mass Customer,N,Yes
271,Doll,Burtwell,Female,2/13/1991,Financial Advisor,Financial Services,Mass Customer,N,No
272,Arlie,Crean,Female,6/6/1987,Product Engineer,Retail,Mass Customer,N,Yes
273,Nevile,Abraham,Male,4/22/1963,Computer Systems Analyst IV,n/a,Mass Customer,N,No
274,Tessi,Hesse,Female,9/15/1976,Social Worker,Health,Mass Customer,N,Yes
275,Dud,,Male,7/27/1955,VP Sales,Health,High Net Worth,N,No
276,Goldi,Dwine,Female,3/25/1990,,Financial Services,Mass Customer,N,No
277,Jehanna,Alvarado,Female,2/19/1956,VP Product Management,n/a,High Net Worth,N,No
278,Sydney,Georger,Male,7/30/1997,Executive Secretary,n/a,Affluent Customer,N,Yes
279,Tamera,Hinckes,Female,9/9/1981,Web Designer I,Manufacturing,Mass Customer,N,No
280,Welch,MacAllaster,Male,3/22/1995,Geologist I,n/a,Affluent Customer,N,Yes
281,Jeanette,Sizzey,Female,12/27/1972,Cost Accountant,Financial Services,High Net Worth,N,Yes
282,Lauren,Curcher,Male,10/27/1989,VP Quality Control,Argiculture,High Net Worth,N,Yes
283,Sari,Noye,Female,2/4/1991,Assistant Manager,Retail,Mass Customer,N,No
284,Seth,Moorman,Male,4/11/1986,Financial Analyst,Financial Services,High Net Worth,N,Yes
285,Julee,Janovsky,Female,11/19/1977,Community Outreach Specialist,Manufacturing,Mass Customer,N,No
286,Kiley,Canaan,Male,8/1/1989,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes
287,Hannie,Wodham,Female,5/6/1985,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No
288,Ebenezer,Seedman,Male,9/8/1985,,Manufacturing,High Net Worth,N,No
289,Modestia,Lithgow,Female,4/12/1970,Clinical Specialist,Health,High Net Worth,N,No
290,Giorgio,Kevane,U,,Senior Sales Associate,IT,Mass Customer,N,No
291,Aime,Burston,Female,10/22/1971,Assistant Media Planner,Entertainment,Mass Customer,N,No
292,Gelya,Gerant,Female,11/24/1961,VP Product Management,n/a,Affluent Customer,N,Yes
293,Virgilio,Willcocks,Male,12/10/1989,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes
294,Magnum,Slowan,Male,4/1/1959,Recruiting Manager,n/a,High Net Worth,N,No
295,Lena,Chape,Female,12/26/1964,Database Administrator II,n/a,Mass Customer,N,Yes
296,Marshal,Rathbone,Male,6/19/1972,,Health,High Net Worth,N,Yes
297,Cecile,MacLise,Female,4/27/1959,Electrical Engineer,Manufacturing,High Net Worth,N,No
298,Maurise,Lenglet,Male,8/15/1956,Engineer I,Manufacturing,High Net Worth,N,No
299,Corabelle,Hartnell,Female,9/15/1956,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes
